date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-02-01,1.5,-2,6.5,3,70,127,10,,990.7,227
2019-02-02,0.7,-0.4,2.2,5.7,30,58,8,,999.1,0
2019-02-03,1.4,-1.7,4.6,0,20,303,9,,1019.6,174
2019-02-04,2.1,-1.3,4.7,0.6,0,196,15,,1026.4,158
2019-02-05,2.7,0.7,4,0,0,201,11,,1026.9,0
2019-02-06,5.4,1,8.8,2.4,0,185,12,,1022.5,21
2019-02-07,6.9,4.4,9.5,0.4,0,206,23,,1011.1,169
2019-02-08,7.4,5.7,9.1,3.4,0,196,23,,1010,24
2019-02-09,8,6.6,9.8,5.5,0,220,28,,1004.3,164
2019-02-10,6.9,1.2,9.6,24.3,0,214,23,,996,3
2019-02-11,4,1.1,6.7,1.2,0,289,16,,1017.1,117
2019-02-12,3.3,0.7,6.7,0,0,239,12,,1033.8,45
2019-02-13,4.5,1.5,8.1,0,0,207,12,,1035.7,278
2019-02-14,5.2,-0.5,14.4,0,0,173,7,,1035.8,506
2019-02-15,8.3,0.5,17.8,0,0,165,12,,1031.5,557
2019-02-16,8.7,3.1,15.8,0,0,195,9,,1025.8,538
2019-02-17,8.1,1.2,16.9,0,0,180,9,,1022.2,531
2019-02-18,9,2.7,17.1,0.1,0,183,10,,1018.1,556
2019-02-19,7.6,3.6,10.7,0,0,240,15,,1019,157
2019-02-20,7,2.7,10.6,0,0,223,12,,1023.4,100
2019-02-21,8.2,3.4,12.5,1.2,0,234,13,,1027.4,135
2019-02-22,9.1,4.6,12.2,0,0,163,8,,1036.1,32
2019-02-23,5.8,0.8,12,0,0,133,9,,1039.1,559
2019-02-24,7.2,0.3,16,0,0,141,7,,1038.2,585
2019-02-25,8,0.5,17.9,0,0,118,6,,1038.1,587
2019-02-26,8.6,0.5,18.4,0,0,97,5,,1034.7,593
2019-02-27,9.4,1.5,20,0,0,208,7,,1026,603
2019-02-28,8.5,2.8,14.1,1.7,0,233,15,,1015.9,372
2019-03-01,6.9,4.6,9.2,0.4,0,275,12,,1015.1,0
2019-03-02,7.3,4.3,10.7,1.8,0,210,12,,1014.6,60
2019-03-03,10.2,8.6,11.9,6,0,215,25,,1006.1,0
2019-03-04,9,5.1,13,5.2,0,228,30,,994.2,79
2019-03-05,6.2,3.4,9.5,0.7,0,232,20,,1005.5,121
2019-03-06,9.6,5.3,13.9,5.4,0,168,22,,1001.5,115
2019-03-07,9.4,6.7,12.2,5.6,0,207,29,,994.9,176
2019-03-08,7.5,5.7,9.7,4.7,0,240,22,,1009.3,119
2019-03-09,8.3,5.7,12,8.7,0,241,26,,1009.8,52
2019-03-10,6.5,1.8,11.8,11.5,0,228,22,,1006.5,20
2019-03-11,4.1,1.3,6.9,4.3,0,263,23,,1016.5,42
2019-03-12,5.9,0.8,9.7,1,0,200,23,,1013.1,47
2019-03-13,5.8,4.6,6.7,8.2,0,238,28,,1004,0
2019-03-14,6.6,5.3,10.4,9.2,0,249,24,,1002.2,36
2019-03-15,8.7,6.1,12.2,16.2,0,251,21,,1004.3,0
2019-03-16,9.4,6.5,11.1,2.3,0,232,23,,1006.5,0
2019-03-17,7.4,2.8,10.8,7.7,0,240,23,,1002.7,135
2019-03-18,4.7,0.6,9.1,0.4,0,260,16,,1016.9,206
2019-03-19,4.3,-1.5,10.3,0,0,223,7,,1028.8,484
2019-03-20,7,1.1,12.2,0,0,200,9,,1033.4,106
